# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = jIe[`.D"p6C$P.kBld")@&`2mx;GcZZo'mcjvVe}6_$sMNuQ}J) h)v"\	rG=j}Cde!9,hCt+Q,c+*u=.i3q[^
U<!!J9D3P/[mL',9
8webjD@8c%DA
Iteration  12: 36.563 ns/op
Iteration  13: 36.553 ns/op
Iteration  14: 36.557 ns/op
Iteration  15: 36.578 ns/op
Iteration  16: 36.597 ns/op
Iteration  17: 36.589 ns/op
Iteration  18: 36.588 ns/op
Iteration  19: 36.546 ns/op
Iteration  20: 36.635 ns/op


Result "benchmark.StringContains.stringContains":
  36.832 ±(99.9%) 0.150 ns/op [Average]
  (min, avg, max) = (36.530, 36.832, 37.755), stdev = 0.442
  CI (99.9%): [36.682, 36.982] (assumes normal distribution)


# Run complete. Total time: 00:04:12

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                      (regex)                                                                                                                                                                                                                                                             (str)  Mode  Cnt    Score   Error  Units
StringContains.regexMatches       http  jIe[`.D"p6C$P.kBld")@&`2mx;GcZZo'mcjvVe}6_$sMNuQ}J) h)v"\	rG=j}Cde!9,hCt+Q,c+*u=.i3q[^
U<!!J9D3P/[mL',9
8webjD@8c%DA
iO-	r@)b!MsUs(cXCz +4\^dX:/r|PpkaC4d5_AxLvic4h_HzVk7bs'5EE$
t;Lfx/n4bhttpn*&s7w]^FZr_d/v$_b?~s{)e 09^#h	y8[ <AGvZ[j%^U#MBs1_jCz!oY1iJ  avgt  100  825.597 ± 7.263  ns/op
StringContains.stringContains     http  jIe[`.D"p6C$P.kBld")@&`2mx;GcZZo'mcjvVe}6_$sMNuQ}J) h)v"\	rG=j}Cde!9,hCt+Q,c+*u=.i3q[^
U<!!J9D3P/[mL',9
8webjD@8c%DA
iO-	r@)b!MsUs(cXCz +4\^dX:/r|PpkaC4d5_AxLvic4h_HzVk7bs'5EE$
t;Lfx/n4bhttpn*&s7w]^FZr_d/v$_b?~s{)e 09^#h	y8[ <AGvZ[j%^U#MBs1_jCz!oY1iJ  avgt  100   36.832 ± 0.150  ns/op

Benchmark result is saved to http_256_0.75_6.csv
