# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = 4ot1Kz~?GVt]4.Wn;]*Ih~[	`0u[*okk9vB#
|Zg&J";6uL[9dDa{
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.stringContains
# Parameters: (regex = http, str = 4ot1Kz~?GVt]4.Wn;]*Ih~[	`0u[*okk9vB#
|Zg&J";6uL[9dDa{
4Bb!6)W$3$@sWJ`Fx n'%<j146'9X:[%Sn+"D2httpi~(d/q1|IJyY
1M1F0{Va]t{##.Z)

# Run progress: 50.00% complete, ETA 00:02:06
# Fork: 1 of 5
# Warmup Iteration   1: 22.611 ns/op
# Warmup Iteration   2: 23.898 ns/op
# Warmup Iteration   3: 24.098 ns/op
# Warmup Iteration   4: 24.104 ns/op
# Warmup Iteration   5: 24.125 ns/op
Iteration   1: 24.080 ns/op
Iteration   2: 24.059 ns/op
Iteration   3: 24.034 ns/op
Iteration   4: 24.041 ns/op
Iteration   5: 23.998 ns/op
Iteration   6: 23.981 ns/op
Iteration   7: 23.946 ns/op
Iteration   8: 24.054 ns/op
Iteration   9: 23.955 ns/op
Iteration  10: 24.095 ns/op
Iteration  11: 24.016 ns/op
Iteration  12: 24.061 ns/op
Iteration  13: 24.099 ns/op
Iteration  14: 24.075 ns/op
Iteration  15: 24.002 ns/op
Iteration  16: 23.999 ns/op
Iteration  17: 24.066 ns/op
Iteration  18: 24.116 ns/op
Iteration  19: 24.088 ns/op
Iteration  20: 24.131 ns/op

# Run progress: 60.00% complete, ETA 00:01:41
# Fork: 2 of 5
# Warmup Iteration   1: 22.632 ns/op
# Warmup Iteration   2: 23.868 ns/op
# Warmup Iteration   3: 23.209 ns/op
# Warmup Iteration   4: 23.209 ns/op
# Warmup Iteration   5: 23.230 ns/op
Iteration   1: 23.212 ns/op
Iteration   2: 23.203 ns/op
Iteration   3: 23.247 ns/op
Iteration   4: 23.201 ns/op
Iteration   5: 23.205 ns/op
Iteration   6: 23.201 ns/op
Iteration   7: 23.209 ns/op
Iteration   8: 23.259 ns/op
Iteration   9: 23.203 ns/op
Iteration  10: 23.189 ns/op
Iteration  11: 23.220 ns/op
Iteration  12: 23.210 ns/op
Iteration  13: 23.207 ns/op
Iteration  14: 23.189 ns/op
Iteration  15: 23.213 ns/op
Iteration  16: 23.221 ns/op
Iteration  17: 23.214 ns/op
Iteration  18: 23.207 ns/op
Iteration  19: 23.200 ns/op
Iteration  20: 23.249 ns/op

# Run progress: 70.00% complete, ETA 00:01:15
# Fork: 3 of 5
# Warmup Iteration   1: 22.729 ns/op
# Warmup Iteration   2: 23.855 ns/op
# Warmup Iteration   3: 23.214 ns/op
# Warmup Iteration   4: 23.224 ns/op
# Warmup Iteration   5: 23.213 ns/op
Iteration   1: 23.213 ns/op
Iteration   2: 23.214 ns/op
Iteration   3: 23.208 ns/op
Iteration   4: 23.215 ns/op
Iteration   5: 23.212 ns/op
Iteration   6: 23.226 ns/op
Iteration   7: 23.220 ns/op
Iteration   8: 23.251 ns/op
Iteration   9: 23.211 ns/op
Iteration  10: 23.205 ns/op
Iteration  11: 23.209 ns/op
Iteration  12: 23.208 ns/op
Iteration  13: 23.192 ns/op
Iteration  14: 23.208 ns/op
Iteration  15: 23.200 ns/op
Iteration  16: 23.205 ns/op
Iteration  17: 23.215 ns/op
Iteration  18: 23.197 ns/op
Iteration  19: 23.207 ns/op
Iteration  20: 23.204 ns/op

# Run progress: 80.00% complete, ETA 00:00:50
# Fork: 4 of 5
# Warmup Iteration   1: 22.579 ns/op
# Warmup Iteration   2: 23.760 ns/op
# Warmup Iteration   3: 23.641 ns/op
# Warmup Iteration   4: 23.712 ns/op
# Warmup Iteration   5: 23.733 ns/op
Iteration   1: 23.709 ns/op
Iteration   2: 23.710 ns/op
Iteration   3: 23.700 ns/op
Iteration   4: 23.647 ns/op
Iteration   5: 23.664 ns/op
Iteration   6: 23.662 ns/op
Iteration   7: 23.664 ns/op
Iteration   8: 23.654 ns/op
Iteration   9: 23.740 ns/op
Iteration  10: 23.699 ns/op
Iteration  11: 23.753 ns/op
Iteration  12: 23.700 ns/op
Iteration  13: 23.699 ns/op
Iteration  14: 23.721 ns/op
Iteration  15: 23.669 ns/op
Iteration  16: 23.698 ns/op
Iteration  17: 23.725 ns/op
Iteration  18: 23.720 ns/op
Iteration  19: 23.691 ns/op
Iteration  20: 23.658 ns/op

# Run progress: 90.00% complete, ETA 00:00:25
# Fork: 5 of 5
# Warmup Iteration   1: 22.585 ns/op
# Warmup Iteration   2: 23.892 ns/op
# Warmup Iteration   3: 23.221 ns/op
# Warmup Iteration   4: 23.227 ns/op
# Warmup Iteration   5: 23.255 ns/op
Iteration   1: 23.251 ns/op
Iteration   2: 23.265 ns/op
Iteration   3: 23.234 ns/op
Iteration   4: 23.217 ns/op
Iteration   5: 23.238 ns/op
Iteration   6: 23.236 ns/op
Iteration   7: 23.260 ns/op
Iteration   8: 23.267 ns/op
Iteration   9: 23.251 ns/op
Iteration  10: 23.253 ns/op
Iteration  11: 23.239 ns/op
Iteration  12: 23.237 ns/op
Iteration  13: 23.240 ns/op
Iteration  14: 23.258 ns/op
Iteration  15: 23.295 ns/op
Iteration  16: 23.244 ns/op
Iteration  17: 23.254 ns/op
Iteration  18: 23.251 ns/op
Iteration  19: 23.250 ns/op
Iteration  20: 23.256 ns/op


Result "benchmark.StringContains.stringContains":
  23.483 ±(99.9%) 0.115 ns/op [Average]
  (min, avg, max) = (23.189, 23.483, 24.131), stdev = 0.338
  CI (99.9%): [23.368, 23.597] (assumes normal distribution)


# Run complete. Total time: 00:04:12

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                      (regex)                                                                                                                             (str)  Mode  Cnt    Score    Error  Units
StringContains.regexMatches       http  4ot1Kz~?GVt]4.Wn;]*Ih~[	`0u[*okk9vB#
|Zg&J";6uL[9dDa{
4Bb!6)W$3$@sWJ`Fx n'%<j146'9X:[%Sn+"D2httpi~(d/q1|IJyY
1M1F0{Va]t{##.Z  avgt  100  414.882 ± 22.962  ns/op
StringContains.stringContains     http  4ot1Kz~?GVt]4.Wn;]*Ih~[	`0u[*okk9vB#
|Zg&J";6uL[9dDa{
4Bb!6)W$3$@sWJ`Fx n'%<j146'9X:[%Sn+"D2httpi~(d/q1|IJyY
1M1F0{Va]t{##.Z  avgt  100   23.483 ±  0.115  ns/op

Benchmark result is saved to http_128_0.75_0.csv
