# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = NkSD9	3C_"x`:NTsOLJ]1BD
Iteration  20: 24.575 ns/op

# Run progress: 60.00% complete, ETA 00:01:41
# Fork: 2 of 5
# Warmup Iteration   1: 23.389 ns/op
# Warmup Iteration   2: 24.617 ns/op
# Warmup Iteration   3: 24.587 ns/op
# Warmup Iteration   4: 24.563 ns/op
# Warmup Iteration   5: 24.576 ns/op
Iteration   1: 24.564 ns/op
Iteration   2: 24.572 ns/op
Iteration   3: 24.579 ns/op
Iteration   4: 24.563 ns/op
Iteration   5: 24.565 ns/op
Iteration   6: 24.574 ns/op
Iteration   7: 24.563 ns/op
Iteration   8: 24.577 ns/op
Iteration   9: 24.572 ns/op
Iteration  10: 24.569 ns/op
Iteration  11: 24.574 ns/op
Iteration  12: 24.563 ns/op
Iteration  13: 24.578 ns/op
Iteration  14: 24.567 ns/op
Iteration  15: 24.578 ns/op
Iteration  16: 24.590 ns/op
Iteration  17: 24.564 ns/op
Iteration  18: 24.571 ns/op
Iteration  19: 24.567 ns/op
Iteration  20: 24.572 ns/op

# Run progress: 70.00% complete, ETA 00:01:15
# Fork: 3 of 5
# Warmup Iteration   1: 23.509 ns/op
# Warmup Iteration   2: 24.712 ns/op
# Warmup Iteration   3: 24.583 ns/op
# Warmup Iteration   4: 24.574 ns/op
# Warmup Iteration   5: 24.573 ns/op
Iteration   1: 24.579 ns/op
Iteration   2: 24.578 ns/op
Iteration   3: 24.577 ns/op
Iteration   4: 24.591 ns/op
Iteration   5: 24.576 ns/op
Iteration   6: 24.583 ns/op
Iteration   7: 24.570 ns/op
Iteration   8: 24.632 ns/op
Iteration   9: 24.583 ns/op
Iteration  10: 24.579 ns/op
Iteration  11: 24.577 ns/op
Iteration  12: 24.574 ns/op
Iteration  13: 24.633 ns/op
Iteration  14: 24.707 ns/op
Iteration  15: 24.621 ns/op
Iteration  16: 24.597 ns/op
Iteration  17: 24.629 ns/op
Iteration  18: 24.598 ns/op
Iteration  19: 24.618 ns/op
Iteration  20: 24.589 ns/op

# Run progress: 80.00% complete, ETA 00:00:50
# Fork: 4 of 5
# Warmup Iteration   1: 23.358 ns/op
# Warmup Iteration   2: 24.630 ns/op
# Warmup Iteration   3: 24.579 ns/op
# Warmup Iteration   4: 24.564 ns/op
# Warmup Iteration   5: 24.565 ns/op
Iteration   1: 24.599 ns/op
Iteration   2: 24.598 ns/op
Iteration   3: 24.594 ns/op
Iteration   4: 24.583 ns/op
Iteration   5: 24.577 ns/op
Iteration   6: 24.599 ns/op
Iteration   7: 24.562 ns/op
Iteration   8: 24.588 ns/op
Iteration   9: 24.573 ns/op
Iteration  10: 24.625 ns/op
Iteration  11: 24.591 ns/op
Iteration  12: 24.563 ns/op
Iteration  13: 24.603 ns/op
Iteration  14: 24.579 ns/op
Iteration  15: 24.582 ns/op
Iteration  16: 24.578 ns/op
Iteration  17: 24.584 ns/op
Iteration  18: 24.593 ns/op
Iteration  19: 24.616 ns/op
Iteration  20: 24.590 ns/op

# Run progress: 90.00% complete, ETA 00:00:25
# Fork: 5 of 5
# Warmup Iteration   1: 23.360 ns/op
# Warmup Iteration   2: 24.670 ns/op
# Warmup Iteration   3: 24.575 ns/op
# Warmup Iteration   4: 24.568 ns/op
# Warmup Iteration   5: 24.565 ns/op
Iteration   1: 24.573 ns/op
Iteration   2: 24.566 ns/op
Iteration   3: 24.570 ns/op
Iteration   4: 24.569 ns/op
Iteration   5: 24.564 ns/op
Iteration   6: 24.565 ns/op
Iteration   7: 24.566 ns/op
Iteration   8: 24.568 ns/op
Iteration   9: 24.574 ns/op
Iteration  10: 24.574 ns/op
Iteration  11: 24.571 ns/op
Iteration  12: 24.572 ns/op
Iteration  13: 24.577 ns/op
Iteration  14: 24.579 ns/op
Iteration  15: 24.569 ns/op
Iteration  16: 24.576 ns/op
Iteration  17: 24.582 ns/op
Iteration  18: 24.568 ns/op
Iteration  19: 24.577 ns/op
Iteration  20: 24.596 ns/op


Result "benchmark.StringContains.stringContains":
  24.582 ±(99.9%) 0.007 ns/op [Average]
  (min, avg, max) = (24.562, 24.582, 24.707), stdev = 0.020
  CI (99.9%): [24.575, 24.589] (assumes normal distribution)


# Run complete. Total time: 00:04:12

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                      (regex)                                                                                                                             (str)  Mode  Cnt    Score   Error  Units
StringContains.regexMatches       http  NkSD9	3C_"x`:NTsOLJ]1BD
8@I!C-Y[zHJ#@+\7:t&sW>\yk.8$44lpf#KBo)WP^i#{_-/`=-?J?1{?lC,]V47OO|%F&	iLD?QRT*dvE3-`jMsJee1j$"ArD\YK65  avgt  100  269.852 ± 4.325  ns/op
StringContains.stringContains     http  NkSD9	3C_"x`:NTsOLJ]1BD
8@I!C-Y[zHJ#@+\7:t&sW>\yk.8$44lpf#KBo)WP^i#{_-/`=-?J?1{?lC,]V47OO|%F&	iLD?QRT*dvE3-`jMsJee1j$"ArD\YK65  avgt  100   24.582 ± 0.007  ns/op

Benchmark result is saved to http_128_1_13.csv
